,As of date,As of time,Number of confirmed cases,Number of ruled out cases,Number of cases still hospitalised for investigation,Number of cases fulfilling the reporting criteria,Number of death cases,Number of discharge cases,Number of probable cases,Number of hospitalised cases in critical condition,Number of cases tested positive for SARS-CoV-2 virus by nucleic acid tests,Number of cases tested positive for SARS-CoV-2 virus by rapid antigen tests
736,13/01/2022,,,,,,213,12327.0,,0.0,13016.0,
737,14/01/2022,,,,,,213,12339.0,,0.0,13025.0,
738,15/01/2022,,,,,,213,12366.0,,0.0,13030.0,
739,16/01/2022,,,,,,213,12393.0,,0.0,13041.0,
740,17/01/2022,,,,,,213,12416.0,,0.0,13048.0,
741,18/01/2022,,,,,,213,12446.0,,0.0,13066.0,
742,19/01/2022,,,,,,213,12474.0,,0.0,13082.0,
743,20/01/2022,,,,,,213,12493.0,,0.0,13096.0,
744,21/01/2022,,,,,,213,12514.0,,0.0,13120.0,
745,22/01/2022,,,,,,213,12541.0,,0.0,13146.0,
746,23/01/2022,,,,,,213,12572.0,,0.0,13286.0,
747,24/01/2022,,,,,,213,12602.0,,0.0,13395.0,
748,25/01/2022,,,,,,213,12623.0,,0.0,13519.0,
749,26/01/2022,,,,,,213,12655.0,,0.0,13626.0,
750,27/01/2022,,,,,,213,12687.0,,0.0,13790.0,
751,28/01/2022,,,,,,213,12710.0,,0.0,13905.0,
752,29/01/2022,,,,,,213,12730.0,,0.0,14024.0,
753,30/01/2022,,,,,,213,12752.0,,0.0,14105.0,
754,31/01/2022,,,,,,213,12780.0,,0.0,14197.0,
755,01/02/2022,,,,,,213,12806.0,,0.0,14326.0,
756,02/02/2022,,,,,,213,12826.0,,1.0,14442.0,
757,03/02/2022,,,,,,213,12880.0,,1.0,14584.0,
758,04/02/2022,,,,,,213,12916.0,,1.0,14715.0,
759,05/02/2022,,,,,,213,12987.0,,1.0,15066.0,
760,06/02/2022,,,,,,213,13125.0,,1.0,15408.0,
761,07/02/2022,,,,,,213,13232.0,,1.0,16022.0,
762,08/02/2022,,,,,,213,13315.0,,2.0,16647.0,
763,09/02/2022,,,,,,215,13436.0,,2.0,17808.0,
764,10/02/2022,,,,,,216,13795.0,,1.0,18794.0,
765,11/02/2022,,,,,,216,14037.0,,2.0,20119.0,
766,12/02/2022,,,,,,219,14183.0,,3.0,21633.0,
767,13/02/2022,,,,,,219,,,4.0,22980.0,
768,14/02/2022,,,,,,221,,,8.0,25051.0,
769,15/02/2022,,,,,,224,,,8.0,26670.0,
770,16/02/2022,,,,,,227,,,16.0,30955.0,
771,17/02/2022,,,,,,238,,,0.0,37071.0,
772,18/02/2022,,,,,,259,,,16.0,40700.0,
773,19/02/2022,,,,,,276,,,16.0,46763.0,
774,20/02/2022,,,,,,288,,,16.0,52830.0,
775,21/02/2022,,,,,,300,,,16.0,60363.0,
776,22/02/2022,,,,,,336,,,16.0,66574.0,
777,23/02/2022,,,,,,385,,,16.0,75248.0,
778,24/02/2022,,,,,,425,,,16.0,84046.0,
779,25/02/2022,,,,,,497,,,16.0,94056.0,
780,26/02/2022,,,,,,577,,,16.0,138955.0,29635.0
781,27/02/2022,,,,,,659,,,16.0,171314.0,48252.0
782,28/02/2022,,,,,,744,,,16.0,205780.0,69964.0
783,01/03/2022,,,,,,990,,,16.0,238377.0,93025.0
784,02/03/2022,,,,,,1168,,,16.0,293730.0,114013.0
785,03/03/2022,,,,,,1366,,,16.0,350557.0,134177.0
786,04/03/2022,,,,,,1554,,,60.0,403080.0,154336.0
787,05/03/2022,,,,,,1774,,,61.0,440609.0,184390.0
788,06/03/2022,,,,,,2007,,,61.0,471617.0,193183.0
789,07/03/2022,,,,,,2287,,,68.0,496767.0,204428.0
790,08/03/2022,,,,,,2578,,,69.0,525242.0,214704.0
791,09/03/2022,,,,,,2869,,,68.0,551233.0,219174.0
792,10/03/2022,,,,,,3150,,,71.0,575623.0,226186.0
793,11/03/2022,,,,,,3444,,,76.0,594511.0,236679.0
794,12/03/2022,,,,,,3729,,,85.0,610300.0,248537.0
795,13/03/2022,,,,,,3993,,,101.0,623635.0,267632.0
796,14/03/2022,,,,,,4279,,,104.0,635675.0,282500.0
797,15/03/2022,,,,,,4568,,,111.0,647631.0,298309.0
798,16/03/2022,,,,,,4847,,,119.0,662085.0,313127.0
799,17/03/2022,,,,,,5136,,,119.0,670713.0,326149.0
800,18/03/2022,,,,,,5401,,,115.0,678679.0,338265.0
801,19/03/2022,,,,,,5650,,,119.0,686207.0,347334.0
802,20/03/2022,,,,,,5896,,,115.0,692083.0,355607.0
803,21/03/2022,,,,,,6119,,,117.0,696606.0,365152.0
804,22/03/2022,,,,,,6364,,,114.0,700902.0,375008.0
805,23/03/2022,,,,,,6569,,,103.0,705152.0,382998.0
806,24/03/2022,,,,,,6770,,,108.0,710884.0,390340.0
807,25/03/2022,,,,,,6962,,,105.0,715462.0,396167.0
808,26/03/2022,,,,,,7101,,,105.0,719346.0,401124.0
809,27/03/2022,,,,,,7252,,,110.0,722901.0,405606.0
810,28/03/2022,,,,,,7420,,,108.0,726128.0,410064.0
811,29/03/2022,,,,,,7571,,,97.0,729292.0,414496.0
812,30/03/2022,,,,,,7706,,,89.0,732286.0,418483.0
813,31/03/2022,,,,,,7825,,,84.0,735145.0,422270.0
814,01/04/2022,,,,,,7945,,,79.0,737888.0,425350.0
815,02/04/2022,,,,,,8061,,,79.0,740174.0,427539.0
816,03/04/2022,,,,,,8172,,,78.0,742006.0,429416.0
817,04/04/2022,,,,,,8262,,,75.0,743595.0,430965.0
818,05/04/2022,,,,,,8349,,,71.0,745253.0,432561.0
819,06/04/2022,,,,,,8460,,,74.0,746742.0,433849.0
820,07/04/2022,,,,,,8557,,,75.0,748110.0,435125.0
821,08/04/2022,,,,,,8643,,,69.0,749337.0,436390.0
822,09/04/2022,,,,,,8705,,,66.0,750234.0,438028.0
823,10/04/2022,,,,,,8770,,,62.0,751122.0,439061.0
824,11/04/2022,,,,,,8827,,,60.0,751820.0,439770.0
825,12/04/2022,,,,,,8886,,,58.0,752555.0,440468.0
826,13/04/2022,,,,,,8948,,,54.0,753289.0,441006.0
827,14/04/2022,,,,,,9002,,,58.0,753868.0,441470.0
828,15/04/2022,,,,,,9069,,,56.0,754339.0,441945.0
829,16/04/2022,,,,,,9110,,,52.0,754788.0,442290.0
830,17/04/2022,,,,,,9139,,,51.0,755234.0,442591.0
831,18/04/2022,,,,,,9159,,,49.0,755550.0,442888.0
832,19/04/2022,,,,,,9176,,,50.0,755870.0,443168.0
833,20/04/2022,,,,,,9186,,,17.0,756200.0,443506.0
834,21/04/2022,,,,,,9212,,,19.0,756517.0,443817.0
835,22/04/2022,,,,,,9227,,,19.0,756807.0,444101.0
836,23/04/2022,,,,,,9236,,,16.0,757059.0,444372.0
837,24/04/2022,,,,,,9249,,,16.0,757280.0,444580.0
838,25/04/2022,,,,,,9267,,,16.0,757522.0,444769.0
839,26/04/2022,,,,,,9274,58804.0,,16.0,757727.0,444911.0
840,27/04/2022,,,,,,9282,59015.0,,16.0,757949.0,445119.0
841,28/04/2022,,,,,,9287,59173.0,,11.0,758155.0,445326.0
842,29/04/2022,,,,,,9298,59316.0,,8.0,758351.0,445496.0
843,30/04/2022,,,,,,9308,59504.0,,5.0,758541.0,445669.0
844,01/05/2022,,,,,,9313,59661.0,,5.0,758660.0,445850.0
845,02/05/2022,,,,,,9318,59716.0,,6.0,758780.0,446013.0
846,03/05/2022,,,,,,9325,59758.0,,7.0,758912.0,446171.0
847,04/05/2022,,,,,,9328,59864.0,,7.0,759024.0,446372.0
848,05/05/2022,,,,,,9333,59963.0,,4.0,759172.0,446545.0
849,06/05/2022,,,,,,9344,60323.0,,2.0,759316.0,446725.0
850,07/05/2022,,,,,,9344,60483.0,,2.0,759431.0,446888.0
851,08/05/2022,,,,,,9346,60600.0,,2.0,759543.0,447042.0
852,09/05/2022,,,,,,9347,60636.0,,2.0,759663.0,447155.0
853,10/05/2022,,,,,,9352,60718.0,,4.0,759801.0,447290.0
854,11/05/2022,,,,,,9355,60841.0,,3.0,759932.0,447439.0
855,12/05/2022,,,,,,9356,60972.0,,2.0,760047.0,447618.0
856,13/05/2022,,,,,,9359,61067.0,,0.0,760173.0,447790.0
857,14/05/2022,,,,,,9360,61157.0,,1.0,760289.0,447958.0
858,15/05/2022,,,,,,9361,61238.0,,1.0,760402.0,448104.0
859,16/05/2022,,,,,,9361,61277.0,,2.0,760515.0,448225.0
860,17/05/2022,,,,,,9361,61380.0,,2.0,760681.0,448387.0
861,18/05/2022,,,,,,9365,61490.0,,3.0,760808.0,448589.0
862,19/05/2022,,,,,,9366,61602.0,,4.0,760924.0,448764.0
863,20/05/2022,,,,,,9370,61702.0,,3.0,761025.0,448906.0
864,21/05/2022,,,,,,9370,61842.0,,3.0,761128.0,449031.0
865,22/05/2022,,,,,,9370,61899.0,,3.0,761222.0,449174.0
866,23/05/2022,,,,,,9370,61925.0,,3.0,761316.0,449270.0
867,24/05/2022,,,,,,9370,61988.0,,3.0,761405.0,449431.0
868,25/05/2022,,,,,,9372,62061.0,,2.0,761509.0,449578.0
869,26/05/2022,,,,,,9374,62098.0,,5.0,761620.0,449718.0
870,27/05/2022,,,,,,9375,62129.0,,7.0,761725.0,449863.0
871,28/05/2022,,,,,,9376,62163.0,,5.0,761841.0,450017.0
872,29/05/2022,,,,,,9376,62174.0,,4.0,761949.0,450146.0
873,30/05/2022,,,,,,9378,62200.0,,4.0,762074.0,450296.0
874,31/05/2022,,,,,,9378,62255.0,,5.0,762188.0,450511.0
875,01/06/2022,,,,,,9379,62317.0,,5.0,762339.0,450865.0
876,02/06/2022,,,,,,9380,62381.0,,7.0,762509.0,451184.0
877,03/06/2022,,,,,,9382,62437.0,,6.0,762708.0,451484.0
878,04/06/2022,,,,,,9382,62485.0,,6.0,762884.0,451754.0
879,05/06/2022,,,,,,9386,62510.0,,5.0,763020.0,452133.0
880,06/06/2022,,,,,,9386,62526.0,,6.0,763231.0,452465.0
881,07/06/2022,,,,,,9389,62575.0,,6.0,763462.0,452473.0
882,08/06/2022,,,,,,9389,62644.0,,4.0,763719.0,452509.0
883,09/06/2022,,,,,,9390,62691.0,,3.0,764051.0,452791.0
884,10/06/2022,,,,,,9390,62751.0,,3.0,764342.0,453168.0
885,11/06/2022,,,,,,9390,62810.0,,3.0,764702.0,453659.0
886,12/06/2022,,,,,,9390,62861.0,,3.0,765066.0,454109.0
887,13/06/2022,,,,,,9390,62896.0,,3.0,765371.0,454541.0
888,14/06/2022,,,,,,9391,62950.0,,2.0,765790.0,454971.0
889,15/06/2022,,,,,,9392,63002.0,,4.0,766319.0,455489.0
890,16/06/2022,,,,,,9392,63056.0,,3.0,766805.0,456182.0
891,17/06/2022,,,,,,9393,63122.0,,3.0,767290.0,456842.0
892,18/06/2022,,,,,,9393,63191.0,,3.0,767819.0,457589.0
893,19/06/2022,,,,,,9395,63224.0,,2.0,768318.0,458366.0
894,20/06/2022,,,,,,9396,63253.0,,3.0,768867.0,459144.0
895,21/06/2022,,,,,,9396,63312.0,,2.0,769394.0,459815.0
896,22/06/2022,,,,,,9397,63399.0,,3.0,770078.0,460578.0
897,23/06/2022,,,,,,9398,63466.0,,3.0,770730.0,461576.0
898,24/06/2022,,,,,,9398,63527.0,,2.0,771444.0,462722.0
899,25/06/2022,,,,,,9398,63620.0,,3.0,772157.0,463803.0
900,26/06/2022,,,,,,9398,63682.0,,3.0,772880.0,464997.0
901,27/06/2022,,,,,,9398,63734.0,,3.0,773610.0,466140.0
902,28/06/2022,,,,,,9399,63798.0,,3.0,774332.0,467103.0
903,29/06/2022,,,,,,9399,63877.0,,3.0,775236.0,468203.0
904,30/06/2022,,,,,,9401,63964.0,,3.0,776182.0,469615.0
905,01/07/2022,,,,,,9402,64069.0,,3.0,777071.0,471044.0
906,02/07/2022,,,,,,9405,64131.0,,3.0,777911.0,472431.0
907,03/07/2022,,,,,,9405,64171.0,,2.0,778454.0,473716.0
908,04/07/2022,,,,,,9405,64265.0,,3.0,778913.0,475098.0
909,05/07/2022,,,,,,9405,64356.0,,1.0,779826.0,476453.0
910,06/07/2022,,,,,,9406,64471.0,,2.0,780965.0,478129.0
911,07/07/2022,,,,,,9407,64590.0,,1.0,782062.0,480060.0
912,08/07/2022,,,,,,9410,64707.0,,3.0,783216.0,481851.0
913,09/07/2022,,,,,,9410,64819.0,,4.0,784488.0,483574.0
914,10/07/2022,,,,,,9412,64919.0,,5.0,785877.0,485177.0
915,11/07/2022,,,,,,9419,65009.0,,5.0,787142.0,486775.0
916,12/07/2022,,,,,,9420,65117.0,,5.0,788445.0,488241.0
917,13/07/2022,,,,,,9422,65222.0,,9.0,790024.0,489816.0
918,14/07/2022,,,,,,9427,65331.0,,8.0,791640.0,491874.0
919,15/07/2022,,,,,,9432,65450.0,,7.0,793189.0,493899.0
920,16/07/2022,,,,,,9433,65580.0,,4.0,794811.0,496039.0
921,17/07/2022,,,,,,9437,65702.0,,5.0,796285.0,498051.0
922,18/07/2022,,,,,,9440,65794.0,,4.0,797687.0,500085.0
923,19/07/2022,,,,,,9444,65927.0,,7.0,799128.0,501900.0
924,20/07/2022,,,,,,9445,66051.0,,5.0,800794.0,504039.0
925,21/07/2022,,,,,,9448,66187.0,,5.0,802577.0,506631.0
926,22/07/2022,,,,,,9454,66336.0,,2.0,804258.0,509220.0
927,23/07/2022,,,,,,9461,66506.0,,5.0,805840.0,511903.0
928,24/07/2022,,,,,,9469,66625.0,,3.0,807572.0,514421.0
929,25/07/2022,,,,,,9472,66748.0,,2.0,809214.0,516909.0
930,26/07/2022,,,,,,9478,66894.0,,7.0,811091.0,519308.0
931,27/07/2022,,,,,,9488,67090.0,,8.0,813057.0,521850.0
932,28/07/2022,,,,,,9493,67090.0,,6.0,815065.0,524728.0
933,29/07/2022,,,,,,9498,67427.0,,10.0,816977.0,527700.0
934,30/07/2022,,,,,,9502,67573.0,,9.0,818703.0,530657.0
935,31/07/2022,,,,,,9503,67730.0,,12.0,820453.0,533541.0
936,01/08/2022,,,,,,9509,67853.0,,11.0,822152.0,536096.0
937,02/08/2022,,,,,,9520,68002.0,,6.0,823801.0,538570.0
938,03/08/2022,,,,,,9524,68188.0,,6.0,825717.0,541201.0
939,04/08/2022,,,,,,9527,68399.0,,7.0,827651.0,544287.0
940,05/08/2022,,,,,,9531,68618.0,,8.0,829251.0,547115.0
941,06/08/2022,,,,,,9535,68847.0,,7.0,830966.0,550002.0
942,07/08/2022,,,,,,9540,69018.0,,7.0,832590.0,552652.0
943,08/08/2022,,,,,,9547,69145.0,,7.0,834224.0,555058.0
944,09/08/2022,,,,,,9550,69309.0,,8.0,835893.0,557434.0
945,10/08/2022,,,,,,9554,69555.0,,6.0,837821.0,560099.0
946,11/08/2022,,,,,,9555,69755.0,,7.0,839290.0,563006.0
947,12/08/2022,,,,,,9559,69952.0,,9.0,840746.0,565989.0
948,13/08/2022,,,,,,9562,70148.0,,11.0,842717.0,569326.0
949,14/08/2022,,,,,,9565,70301.0,,10.0,844446.0,572576.0
950,15/08/2022,,,,,,9569,70439.0,,9.0,846205.0,575713.0
951,16/08/2022,,,,,,9580,70639.0,,9.0,848185.0,578895.0
952,17/08/2022,,,,,,9584,70870.0,,10.0,850525.0,582312.0
953,18/08/2022,,,,,,9589,71144.0,,9.0,852921.0,585970.0
954,19/08/2022,,,,,,9597,71414.0,,10.0,855243.0,590093.0
955,20/08/2022,,,,,,9602,71684.0,,12.0,857485.0,594240.0
956,21/08/2022,,,,,,9605,71914.0,,11.0,859920.0,598318.0
957,22/08/2022,,,,,,9610,72109.0,,11.0,862359.0,602496.0
958,23/08/2022,,,,,,9620,72376.0,,11.0,864771.0,606738.0
959,24/08/2022,,,,,,9634,72675.0,,9.0,867886.0,611507.0
960,25/08/2022,,,,,,9643,72972.0,,12.0,871104.0,616868.0
961,26/08/2022,,,,,,9650,73227.0,,13.0,873450.0,622357.0
962,27/08/2022,,,,,,9654,73533.0,,12.0,875476.0,628788.0
963,28/08/2022,,,,,,9664,73831.0,,13.0,878592.0,635380.0
964,29/08/2022,,,,,,9668,74073.0,,17.0,881327.0,641133.0
965,30/08/2022,,,,,,9681,74418.0,,13.0,884194.0,647114.0
966,31/08/2022,,,,,,9690,74764.0,,15.0,887441.0,653362.0
967,01/09/2022,,,,,,9701,75094.0,,14.0,890747.0,660642.0
968,02/09/2022,,,,,,9709,75412.0,,13.0,893732.0,667558.0
969,03/09/2022,,,,,,9716,75770.0,,16.0,896964.0,674752.0
970,04/09/2022,,,,,,9724,76096.0,,18.0,900065.0,682334.0
971,05/09/2022,,,,,,9732,76361.0,,16.0,902881.0,689539.0
972,06/09/2022,,,,,,9741,76740.0,,14.0,905468.0,696325.0
973,07/09/2022,,,,,,9757,77156.0,,15.0,908530.0,703457.0
974,08/09/2022,,,,,,9769,77564.0,,14.0,911522.0,711556.0
975,09/09/2022,,,,,,9780,77921.0,,15.0,914287.0,718867.0
976,10/09/2022,,,,,,9788,78329.0,,16.0,916726.0,726215.0
977,11/09/2022,,,,,,9799,78675.0,,12.0,919076.0,732898.0
978,12/09/2022,,,,,,9810,78913.0,,14.0,921097.0,738815.0
979,13/09/2022,,,,,,9820,79100.0,,13.0,923168.0,743962.0
980,14/09/2022,,,,,,9830,79426.0,,13.0,925447.0,749262.0
981,15/09/2022,,,,,,9836,79828.0,,10.0,927918.0,754978.0
982,16/09/2022,,,,,,9852,80219.0,,14.0,930228.0,761667.0
983,17/09/2022,,,,,,9868,80579.0,,16.0,932228.0,767945.0
984,18/09/2022,,,,,,9891,80922.0,,16.0,934102.0,773393.0
985,19/09/2022,,,,,,9901,81135.0,,17.0,935735.0,778020.0
986,20/09/2022,,,,,,9908,81491.0,,20.0,937202.0,782147.0
987,21/09/2022,,,,,,9917,81888.0,,18.0,938909.0,786127.0
988,22/09/2022,,,,,,9934,82270.0,,20.0,940524.0,790502.0
989,23/09/2022,,,,,,10099,82583.0,,15.0,941981.0,794432.0
990,24/09/2022,,,,,,10106,83269.0,,14.0,943292.0,798311.0
991,25/09/2022,,,,,,10116,83531.0,,13.0,944483.0,801017.0
992,26/09/2022,,,,,,10128,83716.0,,15.0,945643.0,803891.0
993,27/09/2022,,,,,,10134,83950.0,,13.0,946753.0,806448.0
994,28/09/2022,,,,,,10148,84270.0,,12.0,948039.0,809073.0
995,29/09/2022,,,,,,10153,84533.0,,8.0,949293.0,812088.0
996,30/09/2022,,,,,,10161,84783.0,,7.0,950520.0,814884.0
997,01/10/2022,,,,,,10167,85125.0,,11.0,951643.0,817668.0
998,02/10/2022,,,,,,10173,85350.0,,12.0,952712.0,820168.0
999,03/10/2022,,,,,,10176,85457.0,,11.0,953883.0,822526.0
1000,04/10/2022,,,,,,10184,85660.0,,11.0,955015.0,824680.0
1001,05/10/2022,,,,,,10194,85835.0,,13.0,956405.0,826932.0
1002,06/10/2022,,,,,,10200,86038.0,,15.0,957785.0,829870.0
1003,07/10/2022,,,,,,10202,86289.0,,12.0,959183.0,832841.0
1004,08/10/2022,,,,,,10215,86548.0,,9.0,960560.0,836364.0
1005,09/10/2022,,,,,,10218,86762.0,,14.0,962056.0,839758.0
1006,10/10/2022,,,,,,10228,86886.0,,15.0,963585.0,843103.0
1007,11/10/2022,,,,,,10237,87085.0,,13.0,964934.0,846410.0
1008,12/10/2022,,,,,,10246,87346.0,,12.0,966653.0,849479.0
1009,13/10/2022,,,,,,10254,87575.0,,9.0,968281.0,853473.0
1010,14/10/2022,,,,,,10261,87818.0,,5.0,969842.0,857018.0
1011,15/10/2022,,,,,,10268,88052.0,,8.0,971440.0,860844.0
1012,16/10/2022,,,,,,10273,88253.0,,8.0,973243.0,864605.0
1013,17/10/2022,,,,,,10278,88419.0,,11.0,974954.0,868255.0
1014,18/10/2022,,,,,,10285,88586.0,,8.0,976445.0,871718.0
1015,19/10/2022,,,,,,10297,88853.0,,6.0,978066.0,875221.0
1016,20/10/2022,,,,,,10306,89104.0,,8.0,979292.0,879428.0
1017,21/10/2022,,,,,,10315,89323.0,,9.0,980807.0,883306.0
1018,22/10/2022,,,,,,10322,89549.0,,10.0,982777.0,887289.0
1019,23/10/2022,,,,,,10326,89766.0,,10.0,984476.0,891125.0
1020,24/10/2022,,,,,,10333,89914.0,,11.0,986205.0,894802.0
1021,25/10/2022,,,,,,10343,90145.0,,9.0,987799.0,898429.0
1022,26/10/2022,,,,,,10350,90420.0,,10.0,989670.0,901961.0
1023,27/10/2022,,,,,,10358,90642.0,,7.0,991501.0,906192.0
1024,28/10/2022,,,,,,10365,90878.0,,8.0,993352.0,909997.0
1025,29/10/2022,,,,,,10373,91110.0,,10.0,994925.0,913807.0
1026,30/10/2022,,,,,,10385,91317.0,,9.0,996631.0,917311.0
1027,31/10/2022,,,,,,10397,91466.0,,9.0,998199.0,920509.0
1028,01/11/2022,,,,,,10410,91683.0,,12.0,999663.0,923463.0
1029,02/11/2022,,,,,,10418,91935.0,,13.0,1001288.0,926547.0
1030,03/11/2022,,,,,,10428,92073.0,,14.0,1002718.0,930362.0
1031,04/11/2022,,,,,,10439,92378.0,,12.0,1003633.0,933963.0
1032,05/11/2022,,,,,,10457,92616.0,,9.0,1005289.0,937418.0
1033,06/11/2022,,,,,,10470,92863.0,,10.0,1006655.0,941040.0
1034,07/11/2022,,,,,,10475,92978.0,,11.0,1008242.0,944651.0
1035,08/11/2022,,,,,,10479,93192.0,,9.0,1009552.0,947990.0
1036,09/11/2022,,,,,,10492,93420.0,,8.0,1011317.0,951293.0
1037,10/11/2022,,,,,,10501,93678.0,,10.0,1012934.0,955373.0
1038,11/11/2022,,,,,,10511,93913.0,,9.0,1014491.0,959415.0
1039,12/11/2022,,,,,,10517,94206.0,,8.0,1016119.0,963510.0
1040,13/11/2022,,,,,,10526,94427.0,,9.0,1017922.0,968282.0
1041,14/11/2022,,,,,,10536,94579.0,,11.0,1019661.0,972557.0
1042,15/11/2022,,,,,,10549,94803.0,,9.0,1021357.0,976812.0
